"Date","Price","Open","High","Low","Vol.","Change %"
"02/28/2025","69.56","71.80","71.95","69.37","0.79K","-2.47%"
"02/27/2025","71.32","69.77","71.70","69.66","2.07K","2.53%"
"02/26/2025","69.56","69.96","70.98","69.26","0.22K","-1.00%"
"02/25/2025","70.26","72.06","72.07","69.68","0.99K","-2.61%"
"02/24/2025","72.14","72.78","72.79","70.69","0.45K","-0.32%"
"02/21/2025","72.37","71.22","73.25","71.22","0.20K","1.74%"
"02/20/2025","71.13","71.95","72.17","70.82","1.10K","-1.85%"
"02/19/2025","72.47","74.39","74.67","72.15","2.50K","-2.28%"
"02/18/2025","74.16","75.40","75.75","73.09","0.31K","-1.92%"
"02/17/2025","75.61","77.67","77.70","75.26","1.06K","-3.21%"
"02/14/2025","78.12","75.81","78.18","75.74","0.30K","2.20%"
"02/13/2025","76.44","78.01","78.33","76.35","2.62K","-2.80%"
"02/12/2025","78.64","80.30","80.30","78.50","2.69K","-2.82%"
"02/11/2025","80.92","80.61","82.16","80.07","0.63K","-0.46%"
"02/10/2025","81.29","81.53","82.55","81.20","0.61K","0.79%"
"02/07/2025","80.65","80.15","81.00","79.70","0.78K","0.44%"
"02/06/2025","80.30","79.36","81.06","79.32","1.14K","1.02%"
"02/05/2025","79.49","79.08","80.87","78.28","0.42K","0.33%"
"02/04/2025","79.23","79.39","80.00","78.06","1.23K","-0.09%"
"02/03/2025","79.30","81.73","81.73","78.50","1.42K","-3.52%"
"01/31/2025","82.19","81.41","82.60","81.08","0.39K","1.58%"
"01/30/2025","80.91","81.04","82.67","80.57","0.44K","-0.33%"
"01/29/2025","81.18","79.37","81.93","79.34","0.87K","3.35%"
"01/28/2025","78.55","77.50","78.66","77.15","1.74K","1.16%"
"01/27/2025","77.65","79.41","79.43","77.54","3.07K","-2.88%"
"01/24/2025","79.95","79.38","80.00","78.30","1.14K","1.13%"
"01/23/2025","79.06","77.70","80.05","77.70","6.36K","2.29%"
"01/22/2025","77.29","78.29","78.29","76.87","0.88K","-1.67%"
"01/21/2025","78.60","78.30","78.68","76.33","1.44K","0.36%"
"01/20/2025","78.32","77.40","78.37","76.93","1.87K","0.93%"
"01/17/2025","77.60","76.23","78.57","76.23","1.15K","1.19%"
"01/16/2025","76.69","75.93","76.75","75.81","2.27K","0.46%"
"01/15/2025","76.34","76.15","77.22","76.15","0.33K","1.30%"
"01/14/2025","75.36","75.22","75.59","74.24","0.98K","0.03%"
"01/13/2025","75.34","74.00","75.35","74.00","0.13K","2.73%"
"01/10/2025","73.34","71.68","73.60","71.06","0.61K","1.89%"
"01/09/2025","71.98","71.00","72.19","70.10","0.32K","1.81%"
"01/08/2025","70.70","72.62","72.68","70.64","0.30K","-2.56%"
"01/07/2025","72.56","72.34","73.01","71.52","0.68K","-0.43%"
"01/06/2025","72.87","73.99","73.99","72.48","0.11K","-2.12%"
"01/03/2025","74.45","73.94","74.70","73.61","0.62K","0.96%"
"01/02/2025","73.74","72.46","73.86","70.84","0.38K","3.03%"
"12/31/2024","71.57","70.88","72.09","70.88","0.19K","1.40%"
"12/30/2024","70.58","69.53","70.64","69.05","0.57K","0.61%"
"12/27/2024","70.15","68.97","70.38","68.76","0.38K","3.04%"
"12/24/2024","68.08","68.13","68.57","67.78","0.16K","-0.31%"
"12/23/2024","68.29","66.38","68.74","66.36","0.86K","2.15%"
"12/20/2024","66.85","67.00","67.00","66.10","2.54K","0.74%"
"12/19/2024","66.36","64.10","66.65","63.59","1.67K","4.34%"
"12/18/2024","63.60","63.12","64.27","62.98","5.59K","1.02%"
"12/17/2024","62.96","63.66","64.46","62.89","1.19K","-1.58%"
"12/16/2024","63.97","64.67","64.81","63.52","0.95K","-1.75%"
"12/13/2024","65.11","66.64","67.29","64.82","5.67K","-2.54%"
"12/12/2024","66.81","69.23","69.43","66.28","7.39K","-3.68%"
"12/11/2024","69.36","68.75","70.16","68.68","5.78K","0.68%"
"12/10/2024","68.89","66.86","69.37","66.86","2.25K","3.80%"
"12/09/2024","66.37","68.55","68.70","65.93","47.07K","-2.84%"
"12/06/2024","68.31","67.25","68.74","66.92","29.00K","1.44%"
"12/05/2024","67.34","67.81","68.69","66.91","28.10K","-0.77%"
"12/04/2024","67.86","68.01","68.28","67.28","29.53K","-0.92%"
"12/03/2024","68.49","68.90","69.25","67.85","29.00K","-0.49%"
"12/02/2024","68.83","68.55","70.14","68.10","33.72K","0.63%"
"11/29/2024","68.40","67.85","68.54","67.13","22.28K","1.14%"
"11/28/2024","67.63","68.13","68.91","67.53","25.89K","-1.23%"
"11/27/2024","68.47","69.24","69.38","67.70","26.00K","-1.10%"
"11/26/2024","69.23","69.70","69.75","68.25","34.26K","-0.90%"
"11/25/2024","69.86","69.75","71.54","69.24","32.35K","0.85%"
"11/22/2024","69.27","70.49","70.96","69.01","39.97K","-1.03%"
"11/21/2024","69.99","68.46","70.78","68.45","40.08K","2.35%"
"11/20/2024","68.38","68.02","69.40","67.89","27.20K","0.37%"
"11/19/2024","68.13","69.47","69.83","67.84","35.33K","-1.99%"
"11/18/2024","69.51","67.28","70.03","66.96","38.33K","2.21%"
"11/15/2024","68.01","68.25","68.80","66.75","32.70K","-0.38%"
"11/14/2024","68.27","66.72","68.46","66.61","37.66K","2.96%"
"11/13/2024","66.31","67.12","67.24","65.39","34.37K","-1.81%"
"11/12/2024","67.53","67.50","67.77","65.76","33.59K","-0.06%"
"11/11/2024","67.57","67.27","68.80","66.92","32.43K","-0.66%"
"11/08/2024","68.02","66.25","68.28","65.96","36.64K","3.00%"
"11/07/2024","66.04","63.78","66.29","63.65","30.69K","3.58%"
"11/06/2024","63.76","64.00","64.19","62.37","32.21K","-0.84%"
"11/05/2024","64.30","65.46","65.69","64.10","24.33K","-1.41%"
"11/04/2024","65.22","64.09","65.89","64.00","25.33K","2.11%"
"11/01/2024","63.87","63.78","64.96","63.22","24.86K","-1.10%"
"10/31/2024","64.58","65.48","65.95","63.54","27.40K","-1.36%"
"10/30/2024","65.47","66.85","67.19","64.94","25.80K","-2.69%"
"10/29/2024","67.28","66.82","67.75","66.14","33.57K","1.33%"
"10/28/2024","66.40","66.25","66.61","64.61","27.99K","-0.85%"
"10/25/2024","66.97","66.61","67.36","66.08","31.31K","0.51%"
"10/24/2024","66.63","64.95","67.57","64.75","41.94K","2.68%"
"10/23/2024","64.89","62.35","65.36","61.71","30.50K","4.24%"
"10/22/2024","62.25","61.90","62.56","61.29","26.27K","0.79%"
"10/21/2024","61.76","62.45","62.95","61.36","23.68K","-0.83%"
"10/18/2024","62.28","63.00","63.47","62.22","21.06K","-1.11%"
"10/17/2024","62.98","63.03","63.64","62.63","20.47K","-0.08%"
"10/16/2024","63.03","64.84","65.63","62.80","28.45K","-3.16%"
"10/15/2024","65.09","65.41","65.59","64.17","25.00K","-1.33%"
"10/14/2024","65.97","64.75","66.18","63.85","23.33K","2.09%"
"10/11/2024","64.62","64.90","65.09","63.75","25.05K","-0.58%"
"10/10/2024","65.00","62.52","65.21","62.04","30.19K","4.82%"
"10/09/2024","62.01","60.19","62.71","59.95","36.11K","2.85%"
"10/08/2024","60.29","61.92","61.92","60.07","31.76K","-2.38%"
"10/07/2024","61.76","61.52","62.50","60.06","61.01K","-0.47%"
"10/04/2024","62.05","62.04","62.57","61.41","25.34K","-1.13%"
"10/03/2024","62.76","62.56","62.96","62.01","23.40K","0.26%"
"10/02/2024","62.60","63.90","65.04","62.54","35.78K","-1.59%"
"10/01/2024","63.61","65.23","65.23","62.75","48.31K","-2.97%"
"09/30/2024","65.56","66.46","66.97","65.13","25.80K","-1.16%"
"09/27/2024","66.33","66.00","66.46","65.28","21.37K","-0.29%"
"09/26/2024","66.52","65.25","66.75","64.34","31.10K","1.96%"
"09/25/2024","65.24","64.28","65.59","63.65","33.93K","2.14%"
"09/24/2024","63.87","64.21","64.93","63.53","30.76K","-0.36%"
"09/23/2024","64.10","63.70","64.72","63.34","27.18K","1.12%"
"09/20/2024","63.39","63.50","64.15","62.88","24.41K","0.91%"
"09/19/2024","62.82","63.93","65.42","62.39","49.40K","-1.38%"
"09/18/2024","63.70","64.49","64.88","63.21","22.57K","-0.99%"
"09/17/2024","64.34","63.20","65.16","62.45","33.43K","1.79%"
"09/16/2024","63.21","64.85","64.97","63.15","","-2.74%"
"09/13/2024","64.99","65.25","65.94","64.60","25.95K","-0.70%"
"09/12/2024","65.45","66.08","66.43","65.11","24.04K","-1.43%"
"09/11/2024","66.40","65.14","66.53","64.71","31.44K","2.28%"
"09/10/2024","64.92","66.27","67.18","64.76","34.48K","-2.41%"
"09/09/2024","66.52","66.50","67.45","66.06","24.49K","0.03%"
"09/06/2024","66.50","66.10","67.74","66.04","33.39K","0.45%"
"09/05/2024","66.20","66.79","67.68","65.95","33.56K","-1.19%"
"09/04/2024","67.00","68.10","68.47","66.75","28.04K","-1.70%"
"09/03/2024","68.16","70.41","70.44","68.10","34.50K","-3.22%"
"09/02/2024","70.43","70.03","70.99","69.56","24.52K","0.18%"
"08/30/2024","70.30","71.09","71.45","69.96","20.56K","-1.07%"
"08/29/2024","71.06","70.65","71.23","70.08","20.68K","0.41%"
"08/28/2024","70.77","71.51","72.21","70.35","22.67K","-1.01%"
"08/27/2024","71.49","70.67","71.93","70.24","20.82K","1.42%"
"08/26/2024","70.49","71.10","71.75","70.07","17.22K","-0.90%"
"08/23/2024","71.13","71.51","72.37","70.62","16.66K","-0.61%"
"08/22/2024","71.57","72.42","72.64","71.17","22.10K","-0.79%"
"08/21/2024","72.14","73.29","73.83","71.68","20.05K","-1.27%"
"08/20/2024","73.07","72.94","74.75","72.65","30.00K","-0.10%"
"08/19/2024","73.14","72.50","73.80","72.01","20.35K","0.85%"
"08/16/2024","72.52","72.19","72.98","71.50","14.66K","0.57%"
"08/15/2024","72.11","71.98","72.23","70.48","22.49K","0.33%"
"08/14/2024","71.87","71.35","72.44","71.26","15.75K","0.81%"
"08/13/2024","71.29","72.14","73.06","71.14","25.78K","-1.87%"
"08/12/2024","72.65","70.08","74.13","69.46","39.26K","3.58%"
"08/09/2024","70.14","71.00","71.86","69.61","20.31K","-1.29%"
"08/08/2024","71.06","71.19","71.73","69.72","25.35K","0.69%"
"08/07/2024","70.57","69.96","71.43","69.10","23.50K","0.93%"
"08/06/2024","69.92","69.28","70.39","69.07","18.05K","1.54%"
"08/05/2024","68.86","69.75","69.75","67.86","23.05K","-2.24%"
"08/02/2024","70.44","71.18","71.31","69.45","23.24K","-1.03%"
"08/01/2024","71.17","69.55","71.50","68.83","29.18K","2.79%"
"07/31/2024","69.24","68.95","69.44","68.04","20.38K","0.96%"
"07/30/2024","68.58","68.67","69.29","67.47","20.66K","-0.29%"
"07/29/2024","68.78","67.70","68.90","67.20","16.08K","1.58%"
"07/26/2024","67.71","66.90","68.15","66.79","12.68K","0.94%"
"07/25/2024","67.08","68.91","68.91","66.65","21.15K","-2.64%"
"07/24/2024","68.90","65.79","69.02","65.55","26.23K","4.73%"
"07/23/2024","65.79","64.82","66.22","64.26","19.17K","1.54%"
"07/22/2024","64.79","66.28","66.73","64.25","25.44K","-1.83%"
"07/19/2024","66.00","66.35","67.49","65.73","15.46K","-0.17%"
"07/18/2024","66.11","66.43","66.98","66.01","17.93K","-0.47%"
"07/17/2024","66.42","68.01","68.13","66.41","19.67K","-2.24%"
"07/16/2024","67.94","67.85","68.27","67.16","18.32K","0.53%"
"07/15/2024","67.58","69.58","69.58","67.10","22.05K","-2.55%"
"07/12/2024","69.35","68.55","69.52","67.69","18.19K","1.21%"
"07/11/2024","68.52","68.15","68.83","67.60","16.48K","0.82%"
"07/10/2024","67.96","68.66","69.40","67.86","15.81K","-0.82%"
"07/09/2024","68.52","69.15","69.19","68.18","16.72K","-0.75%"
"07/08/2024","69.04","70.59","71.85","68.80","25.02K","-1.86%"
"07/05/2024","70.35","70.12","71.15","69.94","12.63K","0.24%"
"07/04/2024","70.18","70.76","71.16","69.83","19.11K","-1.03%"
"07/03/2024","70.91","70.67","71.95","70.00","25.07K","-0.03%"
"07/02/2024","70.93","68.30","71.03","67.52","27.02K","3.81%"
"07/01/2024","68.33","67.41","69.68","67.13","19.71K","1.44%"
"06/28/2024","67.36","66.71","68.40","65.79","22.06K","1.31%"
"06/27/2024","66.49","67.03","67.78","66.42","19.50K","-1.10%"
"06/26/2024","67.23","68.35","69.09","66.80","22.83K","-0.84%"
"06/25/2024","67.80","67.45","68.07","66.85","20.56K","0.36%"
"06/24/2024","67.56","68.02","68.27","67.01","25.78K","-0.72%"
"06/21/2024","68.05","69.51","69.51","67.94","18.86K","-1.65%"
"06/20/2024","69.19","70.60","71.59","69.07","21.09K","-2.19%"
"06/19/2024","70.74","68.74","70.81","68.50","20.84K","3.45%"
"06/18/2024","68.38","68.26","69.25","67.72","25.05K","0.32%"
"06/17/2024","68.16","68.70","69.21","67.63","22.76K","-0.54%"
"06/14/2024","68.53","70.75","71.09","68.18","32.67K","-3.30%"
"06/13/2024","70.87","70.30","71.99","70.30","18.92K","0.81%"
"06/12/2024","70.30","70.45","71.75","69.97","20.42K","-0.16%"
"06/11/2024","70.41","70.80","72.17","69.87","22.85K","-0.71%"
"06/10/2024","70.91","71.14","71.20","69.29","27.32K","-0.71%"
"06/07/2024","71.42","71.78","71.88","71.02","14.70K","-0.15%"
"06/06/2024","71.53","71.82","72.98","71.25","19.25K","-0.65%"
"06/05/2024","72.00","72.72","73.26","70.96","25.06K","-0.80%"
"06/04/2024","72.58","74.52","74.71","72.27","29.74K","-2.75%"
"06/03/2024","74.63","74.44","77.80","74.25","29.51K","0.76%"
"05/31/2024","74.07","75.48","76.42","73.85","19.01K","-1.50%"
"05/30/2024","75.20","73.66","75.84","73.37","19.23K","1.69%"
"05/29/2024","73.95","74.50","75.60","72.95","21.29K","-0.87%"
"05/28/2024","74.60","75.99","76.24","74.15","20.35K","-2.50%"
"05/27/2024","76.51","75.70","76.99","75.58","11.68K","0.96%"
"05/24/2024","75.78","76.10","76.70","73.90","20.91K","-0.42%"
"05/23/2024","76.10","76.50","78.10","75.52","28.44K","-0.74%"
"05/22/2024","76.67","75.83","77.50","75.50","26.14K","0.62%"
"05/21/2024","76.20","74.18","76.64","73.05","27.58K","2.64%"
"05/20/2024","74.24","71.00","74.90","71.00","28.80K","5.28%"
"05/17/2024","70.52","70.50","71.52","69.60","19.40K","-0.38%"
"05/16/2024","70.79","69.09","71.27","68.88","19.43K","2.31%"
"05/15/2024","69.19","70.20","71.83","69.09","22.11K","-1.30%"
"05/14/2024","70.10","70.02","71.32","69.02","15.41K","0.04%"
"05/13/2024","70.07","71.33","71.49","68.75","24.98K","-2.12%"
"05/10/2024","71.59","73.50","75.50","71.28","22.20K","-2.76%"
"05/09/2024","73.62","71.40","74.08","71.13","14.64K","2.36%"
"05/08/2024","71.92","71.03","72.70","69.61","21.90K","1.51%"
"05/07/2024","70.85","73.25","74.30","70.57","31.16K","-3.83%"
"05/06/2024","73.67","71.74","74.49","71.52","18.25K","2.55%"
"05/03/2024","71.84","72.69","74.55","71.45","25.96K","-1.17%"
"05/02/2024","72.69","67.88","73.18","67.25","38.25K","7.04%"
"05/01/2024","67.91","69.19","69.26","67.35","12.26K","-1.86%"
"04/30/2024","69.20","65.95","69.60","65.38","26.24K","5.17%"
"04/29/2024","65.80","67.00","67.35","65.01","18.42K","-2.53%"
"04/26/2024","67.51","68.21","69.20","66.57","18.84K","-1.32%"
"04/25/2024","68.41","67.00","69.92","66.54","27.09K","2.33%"
"04/24/2024","66.85","66.25","67.45","64.80","22.73K","0.71%"
"04/23/2024","66.38","66.39","67.21","65.34","22.88K","-0.03%"
"04/22/2024","66.40","68.00","68.19","66.02","25.67K","-3.09%"
"04/19/2024","68.52","72.57","73.30","68.13","28.40K","-4.23%"
"04/18/2024","71.55","69.90","72.22","68.15","31.33K","1.73%"
"04/17/2024","70.33","74.13","74.48","69.24","37.88K","-5.28%"
"04/16/2024","74.25","70.26","74.90","69.87","36.63K","5.83%"
"04/15/2024","70.16","71.55","71.64","69.12","29.52K","-2.07%"
"04/12/2024","71.64","68.60","71.81","68.07","46.29K","4.08%"
"04/11/2024","68.83","62.98","68.92","62.81","47.86K","9.51%"
"04/10/2024","62.85","63.82","65.07","62.30","25.55K","-1.74%"
"04/09/2024","63.96","63.39","64.64","62.53","27.84K","0.90%"
"04/08/2024","63.39","60.72","63.77","59.69","32.01K","3.90%"
"04/05/2024","61.01","58.87","61.15","58.26","25.37K","4.49%"
"04/04/2024","58.39","57.50","59.24","57.10","22.26K","1.46%"
"04/03/2024","57.55","59.29","59.43","56.91","23.14K","-2.29%"
"04/02/2024","58.90","61.22","61.50","58.56","27.64K","-4.89%"
"03/28/2024","61.93","62.50","62.89","61.32","","-1.09%"
"03/27/2024","62.61","62.50","63.31","61.08","22.31K","-0.62%"
"03/26/2024","63.00","64.45","65.74","62.16","33.89K","-2.84%"
"03/25/2024","64.84","61.69","65.49","61.68","33.71K","5.43%"
"03/22/2024","61.50","59.10","62.06","58.80","24.38K","3.59%"
"03/21/2024","59.37","60.04","60.26","58.80","22.93K","-1.07%"
"03/20/2024","60.01","61.30","61.46","59.99","21.68K","-2.12%"
"03/19/2024","61.31","61.30","62.87","59.65","26.86K","-0.18%"
"03/18/2024","61.42","59.50","62.32","59.50","33.59K","3.44%"
"03/15/2024","59.38","58.90","60.25","58.14","27.06K","0.99%"
"03/14/2024","58.80","55.85","59.18","55.08","30.35K","5.24%"
"03/13/2024","55.87","56.86","57.90","55.65","23.40K","-1.98%"
"03/12/2024","57.00","56.26","57.08","55.24","26.90K","1.55%"
"03/11/2024","56.13","58.22","58.24","55.80","28.03K","-4.05%"
"03/08/2024","58.50","59.00","60.20","57.80","22.80K","-1.58%"
"03/07/2024","59.44","58.79","61.09","57.40","36.11K","1.11%"
"03/06/2024","58.79","60.25","62.80","58.09","44.52K","-2.02%"
"03/05/2024","60.00","57.28","61.23","56.73","48.66K","4.75%"
"03/04/2024","57.28","56.40","57.77","53.50","33.98K","1.72%"
"03/01/2024","56.31","56.50","56.84","55.08","22.85K","-0.23%"
"02/29/2024","56.44","57.53","57.81","55.25","27.04K","-1.35%"
"02/28/2024","57.21","56.21","58.87","55.45","38.36K","2.23%"
"02/27/2024","55.96","53.76","56.14","52.45","30.42K","3.96%"
"02/26/2024","53.83","52.11","54.52","51.55","23.89K","2.51%"
"02/23/2024","52.51","52.90","53.01","51.12","26.23K","-0.15%"
"02/22/2024","52.59","54.48","54.48","52.37","22.36K","-3.52%"
"02/21/2024","54.51","54.05","54.98","53.28","18.58K","0.55%"
"02/20/2024","54.21","53.50","55.04","51.86","30.45K","2.01%"
"02/19/2024","53.14","57.11","57.11","52.90","29.61K","-6.95%"
"02/16/2024","57.11","57.95","58.21","56.29","20.13K","-1.45%"
"02/15/2024","57.95","56.44","59.05","56.13","28.07K","2.68%"
"02/14/2024","56.44","56.43","57.57","55.41","23.61K","-0.37%"
"02/13/2024","56.65","57.20","57.89","55.65","23.80K","-0.96%"
"02/12/2024","57.20","58.64","58.80","56.59","24.58K","-2.72%"
"02/09/2024","58.80","60.50","60.50","58.20","26.39K","-3.15%"
"02/08/2024","60.71","62.50","62.50","60.27","26.07K","-2.58%"
"02/07/2024","62.32","63.35","63.68","62.25","17.67K","-1.84%"
"02/06/2024","63.49","62.79","63.97","62.00","19.28K","1.44%"
"02/05/2024","62.59","63.80","64.31","62.07","19.16K","-1.43%"
"02/02/2024","63.50","62.05","64.37","61.90","17.96K","1.89%"
"02/01/2024","62.32","64.16","64.87","62.10","22.15K","-3.23%"
"01/31/2024","64.40","63.92","65.14","62.94","21.32K","0.59%"
"01/30/2024","64.02","61.63","64.02","61.30","22.87K","3.64%"
"01/29/2024","61.77","63.60","64.06","61.58","22.58K","-2.11%"
"01/26/2024","63.10","63.15","65.03","62.10","21.96K","-0.49%"
"01/25/2024","63.41","66.43","66.43","62.90","25.61K","-3.63%"
"01/24/2024","65.80","63.36","66.10","63.16","25.09K","4.00%"
"01/23/2024","63.27","62.00","63.80","61.60","20.28K","1.38%"
"01/22/2024","62.41","63.03","63.03","60.86","21.64K","-1.59%"
"01/19/2024","63.42","63.37","64.23","62.93","15.14K","0.22%"
"01/18/2024","63.28","63.09","64.13","62.50","18.19K","-0.05%"
"01/17/2024","63.31","65.39","66.07","62.86","25.63K","-3.33%"
"01/16/2024","65.49","66.98","67.40","65.05","22.43K","-2.11%"
"01/15/2024","66.90","66.00","67.46","64.61","22.19K","4.86%"
"01/12/2024","63.80","66.93","66.93","63.00","0.51K","-3.27%"
"01/11/2024","65.96","67.67","67.70","65.20","1.06K","-2.60%"
"01/10/2024","67.72","70.30","70.50","67.47","0.75K","-3.12%"
"01/09/2024","69.90","69.50","70.73","69.25","0.48K","-0.09%"
"01/08/2024","69.96","73.68","73.75","69.89","0.78K","-5.42%"
"01/05/2024","73.97","73.32","74.54","73.18","0.38K","0.26%"
"01/04/2024","73.78","75.45","76.10","73.10","1.39K","-2.17%"
"01/03/2024","75.42","74.20","75.58","74.20","0.21K","1.80%"
"01/02/2024","74.09","78.17","78.22","73.04","0.69K","-4.99%"
"12/29/2023","77.98","78.00","78.61","77.28","","0.05%"
"12/28/2023","77.94","77.69","78.02","76.98","0.94K","0.26%"
"12/27/2023","77.74","77.27","78.57","77.08","0.96K","1.04%"
"12/22/2023","76.94","75.88","77.08","75.00","0.45K","1.40%"
"12/21/2023","75.88","73.50","76.42","73.50","0.82K","3.66%"
"12/20/2023","73.20","69.75","73.55","69.75","1.45K","4.93%"
"12/19/2023","69.76","69.99","69.99","68.75","1.04K","0.22%"
"12/18/2023","69.61","68.26","71.38","67.03","4.27K","3.02%"
"12/15/2023","67.57","66.76","67.82","66.22","12.69K","1.26%"
"12/14/2023","66.73","69.12","70.16","65.99","23.65K","-3.12%"
"12/13/2023","68.88","68.21","69.98","68.01","26.59K","0.94%"
"12/12/2023","68.24","67.30","68.60","66.88","23.04K","1.34%"
"12/11/2023","67.34","68.50","68.50","66.26","29.08K","-1.87%"
"12/08/2023","68.62","70.00","70.76","68.45","22.24K","-1.93%"
"12/07/2023","69.97","68.86","70.19","68.65","22.52K","1.46%"
"12/06/2023","68.96","69.11","70.00","68.37","23.02K","0.07%"
"12/05/2023","68.91","70.72","70.88","68.42","30.66K","-2.16%"
"12/04/2023","70.43","72.03","72.08","70.15","31.64K","-2.79%"
"12/01/2023","72.45","70.79","73.13","70.57","21.53K","2.68%"
"11/30/2023","70.56","70.55","71.71","70.44","26.25K","-0.31%"
"11/29/2023","70.78","72.33","73.25","70.56","28.53K","-2.37%"
"11/28/2023","72.50","73.04","73.71","72.01","23.92K","-0.78%"
"11/27/2023","73.07","76.34","76.50","72.79","28.36K","-4.43%"
"11/24/2023","76.46","76.68","77.19","76.00","13.70K","-0.14%"
"11/23/2023","76.57","75.30","77.22","74.88","20.68K","1.96%"
"11/22/2023","75.10","75.37","76.20","74.88","18.87K","-0.15%"
"11/21/2023","75.21","76.61","76.71","75.08","16.44K","-1.89%"
"11/20/2023","76.66","76.63","77.80","76.15","15.54K","0.56%"
"11/17/2023","76.23","77.09","77.68","76.02","15.96K","-1.26%"
"11/16/2023","77.20","79.80","79.89","76.49","23.12K","-3.26%"
"11/15/2023","79.80","78.57","80.27","78.57","20.26K","1.57%"
"11/14/2023","78.57","77.39","79.09","76.60","19.81K","1.99%"
"11/13/2023","77.04","78.50","78.92","76.17","19.75K","-1.86%"
"11/10/2023","78.50","77.69","78.85","76.29","18.97K","1.55%"
"11/09/2023","77.30","75.65","77.69","75.19","22.23K","2.52%"
"11/08/2023","75.40","75.28","76.38","74.84","19.63K","0.05%"
"11/07/2023","75.36","75.71","76.50","74.86","21.35K","-0.69%"
"11/06/2023","75.88","77.48","77.48","75.60","18.33K","-1.71%"
"11/03/2023","77.20","78.61","79.70","77.10","19.75K","-2.35%"
"11/02/2023","79.06","78.35","79.20","76.24","34.24K","0.51%"
"11/01/2023","78.66","79.40","80.16","78.37","19.68K","-0.94%"
"10/31/2023","79.41","78.65","79.50","78.15","21.72K","0.80%"
"10/30/2023","78.78","79.45","80.98","78.48","24.81K","-0.73%"
"10/27/2023","79.36","79.64","80.36","79.30","15.86K","-0.28%"
"10/26/2023","79.58","79.94","80.71","79.49","18.95K","-0.44%"
"10/25/2023","79.93","80.74","80.98","79.75","18.43K","-0.91%"
"10/24/2023","80.66","80.26","81.34","80.21","17.18K","0.45%"
"10/23/2023","80.30","81.39","81.50","80.06","17.53K","-1.68%"
"10/20/2023","81.67","81.98","82.50","81.05","15.05K","-0.40%"
"10/19/2023","82.00","81.70","82.24","80.84","17.07K","0.26%"
"10/18/2023","81.79","82.61","83.35","81.52","15.86K","-1.04%"
"10/17/2023","82.65","83.29","83.66","81.45","16.43K","-0.91%"
"10/16/2023","83.41","85.58","85.93","82.99","18.29K","-2.63%"
"10/13/2023","85.66","85.23","86.60","84.73","22.82K","0.25%"
"10/12/2023","85.45","83.78","85.69","83.50","16.72K","1.99%"
"10/11/2023","83.78","84.68","85.03","83.50","21.43K","-1.13%"
"10/10/2023","84.74","81.87","85.06","81.60","26.15K","3.81%"
"10/09/2023","81.63","80.65","81.96","80.00","16.51K","1.25%"
"10/06/2023","80.62","80.85","81.15","80.00","12.05K","-0.30%"
"10/05/2023","80.86","81.85","82.37","80.30","15.01K","-1.17%"
"10/04/2023","81.82","79.87","82.39","79.56","20.90K","2.53%"
"10/03/2023","79.80","80.70","80.91","79.52","23.91K","-1.12%"
"10/02/2023","80.70","81.42","81.66","80.62","14.76K","-0.92%"
"09/29/2023","81.45","83.00","83.24","81.42","11.38K","-2.00%"
"09/28/2023","83.11","81.83","83.24","81.82","11.32K","1.53%"
"09/27/2023","81.86","83.00","83.05","81.61","14.84K","-0.79%"
"09/26/2023","82.51","84.99","85.13","82.51","16.30K","-2.80%"
"09/25/2023","84.89","85.95","85.95","84.77","14.09K","-0.48%"
"09/22/2023","85.30","83.94","86.05","83.65","18.47K","1.03%"
"09/21/2023","84.43","82.70","84.61","81.70","16.17K","2.02%"
"09/20/2023","82.76","81.60","82.97","80.51","18.19K","1.80%"
"09/19/2023","81.30","80.97","81.69","80.55","12.94K","0.52%"
"09/18/2023","80.88","82.18","82.65","80.74","16.52K","-1.49%"
"09/15/2023","82.10","82.88","84.09","81.86","14.31K","-1.00%"
"09/14/2023","82.93","83.71","84.07","82.45","14.48K","-0.99%"
"09/13/2023","83.76","81.25","83.83","80.57","22.49K","3.25%"
"09/12/2023","81.12","81.85","82.41","80.98","17.50K","-0.75%"
"09/11/2023","81.73","81.79","82.51","81.36","13.80K","0.13%"
"09/08/2023","81.62","83.52","84.00","81.28","17.11K","-2.01%"
"09/07/2023","83.29","83.67","84.28","82.67","16.85K","-0.49%"
"09/06/2023","83.70","83.95","84.81","83.11","15.69K","-0.25%"
"09/05/2023","83.91","84.18","84.81","83.60","16.54K","-0.20%"
"09/04/2023","84.08","85.63","85.63","83.75","13.97K","-1.82%"
"09/01/2023","85.64","86.03","86.32","85.00","11.95K","-0.45%"
"08/31/2023","86.03","86.10","87.28","85.58","11.31K","0.03%"
"08/30/2023","86.00","84.91","86.63","84.64","13.34K","1.18%"
"08/29/2023","85.00","85.72","86.49","84.52","12.48K","-0.70%"
"08/28/2023","85.60","85.40","86.50","84.79","8.13K","0.41%"
"08/25/2023","85.25","85.06","86.42","84.50","13.46K","0.05%"
"08/24/2023","85.21","87.35","87.35","85.10","18.77K","-3.17%"
"08/23/2023","88.00","89.96","90.23","87.35","19.87K","-2.23%"
"08/22/2023","90.01","87.85","90.39","87.76","19.57K","2.46%"
"08/21/2023","87.85","88.62","88.70","86.86","11.65K","-0.23%"
"08/18/2023","88.05","88.68","89.09","87.27","12.86K","-0.90%"
